Executed: 332238	i: 10085
Executed: 197186	i: 10084
Executed: 332237	i: 10083
Executed: 197184	i: 10082
Executed: 197183	i: 10081
Executed: 197182	i: 10080
Executed: 197180	i: 10079
Executed: 197179	i: 10078
Executed: 332239	i: 10077
Executed: 332233	i: 10075
Executed: 332234	i: 10074
Executed: 197172	i: 10073
Executed: 197170	i: 10072
Executed: 197167	i: 10071
Executed: 197166	i: 10070
Executed: 197163	i: 10069
Executed: 197160	i: 10068
Executed: 197157	i: 10067
Executed: 197154	i: 10066
Executed: 332235	i: 10065
Executed: 197906	i: 10063
Executed: 332231	i: 10062
Executed: 332230	i: 10061
Executed: 332229	i: 10060
Executed: 197904	i: 10059
Executed: 197902	i: 10058
Executed: 197901	i: 10057
Executed: 197899	i: 10056
Executed: 197895	i: 10054
Executed: 332228	i: 10053
Executed: 332227	i: 10052
Executed: 332226	i: 10051
Executed: 332223	i: 10050
Executed: 332221	i: 10049
Executed: 332222	i: 10048
Executed: 332220	i: 10047
Executed: 332219	i: 10046
Executed: 332225	i: 10045
Executed: 332224	i: 10044
Executed: 332215	i: 10042
Executed: 332216	i: 10041
Executed: 332214	i: 10040
Executed: 332213	i: 10039
Executed: 332209	i: 10038
Executed: 332207	i: 10037
Executed: 332205	i: 10036
Executed: 332204	i: 10035
Executed: 332212	i: 10034
Executed: 332202	i: 10033
Executed: 332201	i: 10032
Executed: 332192	i: 10029
Executed: 332191	i: 10028
Executed: 332190	i: 10027
Executed: 332189	i: 10026
Executed: 332184	i: 10025
Executed: 332187	i: 10024
Executed: 332183	i: 10023
Executed: 332182	i: 10022
Executed: 332181	i: 10021
Executed: 332185	i: 10020
Executed: 332178	i: 10018
Executed: 332177	i: 10017
Executed: 332176	i: 10016
Executed: 332175	i: 10015
Executed: 332174	i: 10014
Executed: 332173	i: 10013
Executed: 332172	i: 10012
Executed: 332171	i: 10011
Executed: 332170	i: 10010
Executed: 332169	i: 10009
Executed: 332157	i: 9999
Executed: 332156	i: 9998
Executed: 332155	i: 9997
Executed: 332154	i: 9996
Executed: 332153	i: 9995
Executed: 332152	i: 9994
Executed: 332151	i: 9993
Executed: 332150	i: 9992
Executed: 332149	i: 9991
Executed: 332145	i: 9989
Executed: 332143	i: 9988
Executed: 332142	i: 9987
Executed: 332140	i: 9986
Executed: 332139	i: 9985
Executed: 332138	i: 9984
Executed: 332136	i: 9983
Executed: 332135	i: 9982
Executed: 332134	i: 9981
Executed: 332133	i: 9980
Executed: 332129	i: 9978
Executed: 270983	i: 9977
Executed: 270982	i: 9976
Executed: 270980	i: 9975
Executed: 270978	i: 9974
Executed: 270976	i: 9973
Executed: 332126	i: 9972
Executed: 332124	i: 9970
Executed: 270972	i: 9969
Executed: 270970	i: 9968
Executed: 270968	i: 9967
Executed: 270966	i: 9966
Executed: 270965	i: 9965
Executed: 270962	i: 9964
Executed: 332121	i: 9963
Executed: 332117	i: 9961
Executed: 332115	i: 9960
Executed: 332114	i: 9959
Executed: 270994	i: 9958
Executed: 270992	i: 9957
Executed: 270990	i: 9956
Executed: 270988	i: 9955
Executed: 270987	i: 9954
Executed: 332113	i: 9953
Executed: 332106	i: 9951
Executed: 332105	i: 9950
Executed: 332103	i: 9949
Executed: 332102	i: 9948
Executed: 332101	i: 9947
Executed: 332095	i: 9945
Executed: 332094	i: 9944
Executed: 332093	i: 9943
Executed: 332092	i: 9942
Executed: 332090	i: 9941
Executed: 332089	i: 9940
Executed: 332087	i: 9939
Executed: 332086	i: 9938
Executed: 332085	i: 9937
Executed: 333150	i: 9936
Executed: 333148	i: 9935
Executed: 333147	i: 9934
Executed: 333146	i: 9933
Executed: 333145	i: 9932
Executed: 333144	i: 9931
Executed: 333143	i: 9930
Executed: 332933	i: 9928
Executed: 332932	i: 9927
Executed: 332931	i: 9926
Executed: 332930	i: 9925
Executed: 332929	i: 9924
Executed: 332928	i: 9923
Executed: 332927	i: 9922
Executed: 332926	i: 9920
Executed: 333160	i: 9918
Executed: 333159	i: 9917
Executed: 333158	i: 9916
Executed: 333157	i: 9915
Executed: 333156	i: 9914
Executed: 333155	i: 9913
Executed: 333154	i: 9912
Executed: 333153	i: 9911
Executed: 333152	i: 9910
Executed: 331675	i: 9909
Executed: 331674	i: 9908
Executed: 331672	i: 9907
Executed: 331671	i: 9906
Executed: 331670	i: 9905
Executed: 331669	i: 9904
Executed: 357781	i: 9903
Executed: 331667	i: 9902
Executed: 331666	i: 9901
Executed: 331661	i: 9898
Executed: 331659	i: 9897
Executed: 331655	i: 9896
Executed: 331653	i: 9895
Executed: 331652	i: 9894
Executed: 331651	i: 9893
Executed: 331645	i: 9892
Executed: 331643	i: 9891
Executed: 331642	i: 9890
Executed: 331641	i: 9889
Executed: 331639	i: 9888
Executed: 331638	i: 9887
Executed: 331637	i: 9886
Executed: 331647	i: 9885
Executed: 331646	i: 9884
Executed: 333107	i: 9882
Executed: 333113	i: 9881
Executed: 333112	i: 9880
Executed: 333111	i: 9879
Executed: 333110	i: 9878
Executed: 333109	i: 9877
Executed: 333108	i: 9876
Executed: 333106	i: 9875
Executed: 333105	i: 9874
Executed: 331634	i: 9873
Executed: 331633	i: 9872
Executed: 331631	i: 9871
Executed: 331630	i: 9870
Executed: 331629	i: 9869
Executed: 331628	i: 9868
Executed: 331625	i: 9867
Executed: 331626	i: 9866
Executed: 333437	i: 9865
Executed: 333435	i: 9864
Executed: 333434	i: 9863
Executed: 333433	i: 9862
Executed: 333432	i: 9861
Executed: 333431	i: 9860
Executed: 333430	i: 9859
Executed: 333428	i: 9858
Executed: 333427	i: 9857
Executed: 345121	i: 9856
Executed: 345119	i: 9855
Executed: 345118	i: 9854
Executed: 345117	i: 9852
Executed: 345116	i: 9851
Executed: 345115	i: 9850
Executed: 345114	i: 9849
Executed: 345112	i: 9848
Executed: 345109	i: 9847
Executed: 351100	i: 9846
Executed: 351099	i: 9845
Executed: 351098	i: 9844
Executed: 351097	i: 9843
Executed: 351096	i: 9842
Executed: 351095	i: 9841
Executed: 351094	i: 9840
Executed: 351093	i: 9839
Executed: 355153	i: 9838
